0,39773
10000,29832590
20000,86362991
30000,201031726
40000,342151380
50000,530078352
60000,795308482
70000,1042154090
80000,1358815957
90000,1713914316
100000,2051756404
110000,2453402643
120000,2918472203
130000,3408375324
140000,3975001666
150000,4563730690
160000,5174595201
170000,5866765196
180000,6583916938
190000,7359922948
200000,8265690313
210000,9029699913
220000,9871128612
230000,10745922579
240000,11761125326
250000,12668823683
260000,13727767439
270000,14947101384
280000,16031925819
290000,17089995123
300000,18570333683
310000,19661247546
320000,20822926993
330000,22220506694
340000,23761958666
350000,25210688664
360000,26526366738
370000,28164460377
380000,29450524916
390000,31509742757
400000,32912791240
410000,34735313849
420000,37041911208
430000,38286063888
440000,41331152122
450000,42176353182
460000,44212391198
470000,45388012444
480000,48705979429
490000,50476028447
500000,51654099390
