0,42940
10000,29142003
20000,87738797
30000,131224243
40000,337888967
50000,532788235
60000,772972164
70000,1019512312
80000,1325873096
90000,1746452853
100000,1454033392
110000,1765217715
120000,2093772092
130000,2484922262
140000,3123812344
150000,3419621492
160000,3946402031
170000,4306669895
180000,4896761326
190000,5717698832
200000,6172898353
210000,6541028211
220000,7125962116
230000,7709041992
240000,8528858538
250000,9526738839
260000,9972134820
270000,10705004911
280000,11653707898
290000,12445834845
300000,13155531797
310000,14041984883
320000,14952360550
330000,15866893704
340000,16819530468
350000,17815835259
360000,18908318314
370000,19939556317
380000,20967238513
390000,22276174742
400000,23283856263
410000,24493265865
420000,25688044952
430000,27378717243
440000,28483462515
450000,29449473283
460000,30743639087
470000,34284256509
480000,38111404345
490000,38444303307
500000,41562096263
